timestamp,motion_raw,motion_state,vibration_raw,vibration_state,status,rawline,motion_mean,motion_std,motion_3mean,motion_3std,motion_median,motion_domfreq,vibration_mean,vibration_std,vibration_3mean,vibration_3std,vibration_median,vibration_domfreq,svm_mean,svm_std
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.19595917942265423,0.12,0.5878775382679626,0.0,0.27,0.04,0.19595917942265423
2025-09-10 21:42:27,0,LOW,1,HIGH,ALERT,PIR: 0 | Vibration: 1,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.21794494717703367,0.15000000000000002,0.653834841531101,0.0,0.37,0.05,0.21794494717703367
2025-09-10 21:42:27,0,LOW,1,HIGH,ALERT,PIR: 0 | Vibration: 1,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.23748684174075835,0.18,0.7124605252222751,0.0,0.02,0.06,0.23748684174075835
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.23748684174075835,0.18,0.7124605252222751,0.0,0.02,0.06,0.23748684174075835
2025-09-10 21:42:27,0,LOW,1,HIGH,ALERT,PIR: 0 | Vibration: 1,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.25514701644346144,0.21000000000000002,0.7654410493303843,0.0,0.02,0.07,0.25514701644346144
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.25514701644346144,0.21000000000000002,0.7654410493303843,0.0,0.02,0.07,0.25514701644346144
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.25514701644346144,0.21000000000000002,0.7654410493303843,0.0,0.02,0.07,0.25514701644346144
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.25514701644346144,0.21000000000000002,0.7654410493303843,0.0,0.02,0.07,0.25514701644346144
2025-09-10 21:42:28,0,LOW,1,HIGH,ALERT,PIR: 0 | Vibration: 1,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.2712931993250107,0.24,0.8138795979750322,0.0,0.02,0.08,0.2712931993250107
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.2712931993250107,0.24,0.8138795979750322,0.0,0.02,0.08,0.2712931993250107
2025-09-10 21:42:28,0,LOW,1,HIGH,ALERT,PIR: 0 | Vibration: 1,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.2861817604250837,0.27,0.8585452812752511,0.0,0.02,0.09,0.2861817604250837
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.2861817604250837,0.27,0.8585452812752511,0.0,0.02,0.09,0.2861817604250837
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.2861817604250837,0.27,0.8585452812752511,0.0,0.02,0.09,0.2861817604250837
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.28618176042508375,0.27,0.8585452812752512,0.0,0.02,0.09,0.28618176042508375
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.2861817604250837,0.27,0.8585452812752511,0.0,0.02,0.09,0.2861817604250837
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.2861817604250837,0.27,0.8585452812752511,0.0,0.02,0.09,0.2861817604250837
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.2861817604250837,0.27,0.8585452812752511,0.0,0.02,0.09,0.2861817604250837
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.28618176042508375,0.27,0.8585452812752512,0.0,0.02,0.09,0.28618176042508375
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.2861817604250837,0.27,0.8585452812752511,0.0,0.02,0.09,0.2861817604250837
