timestamp,motion_raw,motion_state,vibration_raw,vibration_state,status
2025-09-10 21:42:28,0,LOW,1,HIGH,ALERT
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:29,0,LOW,1,HIGH,ALERT
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:30,0,LOW,1,HIGH,ALERT
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:30,0,LOW,1,HIGH,ALERT
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:31,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:31,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:31,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:31,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:31,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:31,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:31,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:31,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:31,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:31,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:32,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:32,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:32,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:32,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:32,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:32,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:32,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:32,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:32,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:32,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:33,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:33,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:33,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:33,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:33,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:33,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:33,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:33,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:33,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:33,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:34,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:34,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:34,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:34,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:34,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:34,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:34,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:34,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:34,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:34,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:35,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:35,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:35,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:35,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:35,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:35,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:35,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:35,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:35,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:35,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:36,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:36,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:36,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:36,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:36,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:36,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:36,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:36,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:36,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:36,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:37,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:37,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:37,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:37,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:37,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:37,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:37,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:37,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:37,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:37,0,LOW,0,LOW,NORMAL
